"country","region","city_state","codes_list"
"Belarus","Brest Province, Liakhavichy District, Zherebkovichskiy Council","Domashi","[""225375""]"
"Armenia","Kotayk, Charentsavan","Vardanavanq","[""2505""]"
"Vietnam","Dong Bang Song Cuu Long, Kien Giang, Vinh Thuan","Vinh Binh Nam","[""920000""]"
"Japan","Tochigi Ken, Yaita Shi","Nagai","[""329-2514""]"
"China","Heilongjiang, Fuyu County","Fulu Town","[""161211""]"
"Mexico","Chihuahua","Chavira 2","[""33767""]"
"Nigeria","Akwa Ibom, Etim Ekpo, Obong","Ibio Nung Achat","[""532109""]"
"Mexico","Jalisco","Coto San Francisco","[""45200""]"
"Austria","Steiermark, Politischer Bezirk Deutschlandsberg, Wies","Buchenberg","[""8551"",""8553""]"
"Argentina","Neuquen","Patria","[""8345""]"
"United Kingdom","England, Shropshire","Shelton","[""SY3""]"
"Japan","Hyogo Ken, Kobe Shi","Harada","[""657-0802""]"
"Cambodia","Phnom Penh, Tuol Kouk, Phsar Depou Muoy","Phum 1","[""12153""]"
"India","Chattisgarh, Bastar, Keshkal","Bangaon","[""494228""]"
"Japan","Niigata Ken, Ojiya Shi","Wakaba","[""947-0054""]"
"Russian Federation","Chuvashskaya Respublika","Cheboksary 35","[""428035""]"
